atf4_authority_name,atf4_authority_code,internal_region_name,authority_name_alternative_1,authority_name_alternative_2,authority_name_alternative_3
Warrington,WAR,Warrington,Warrington,Warrington Borough Council UA,Warrington Unitary Authority
Warwickshire,WCC,Warwickshire,Warwickshire,Warwickshire CC,Warwickshire County Council
West Berkshire,WBK,West Berkshire,West Berkshire,West Berks UA,West Berkshire Unitary Authority
West Midlands ITA,WMI,West Midlands,West Midlands ITA,West Midlands ITA,West Midlands Combined Authority
West Northamptonshire,WNO,West Northamptonshire,West Northamptonshire,West Northamptonshire UA,West Northamptonshire Unitary Authority
West Sussex,WSX,West Sussex,West Sussex,West Sussex CC,NA
West Yorkshire Combined Authority,WYO,West Yorkshire,West Yorkshire CA,West Yorkshire CA,West Yorkshire Combined Authority
West of England Combined Authority,WOE,West of England,West of England CA,West of England CA,West of England Combined Authority
Wiltshire,WLT,Wiltshire,Wiltshire,Wiltshire UA,Wiltshire Unitary Authority
Windsor and Maidenhead,WAM,Windsor and Maidenhead,Windsor and Maidenhead,Windsor and Maidenhead UA,Windsor and Maidenhead Unitary Authority
Wokingham,WOK,Wokingham,Wokingham,Wokingham UA,Wokingham Unitary Authority
Worcestershire,WOR,Worcestershire,Worcestershire,Worcestershire CC,NA
York,YOR,York,York,York UA,York Unitary Authority
